                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.5374,                 1.1699,                 1.3153,                 0.3439,                0.36532,                0.27242,                0.10076,                 2.3368,                 2.0492,                 2.0069,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.5327,                 1.1827,                 1.3076,                0.32851,                0.39474,                0.27301,                0.09759,                 2.3406,                 2.0275,                 2.0057,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4973,                 1.1828,                 1.2912,                0.40347,                0.37876,                0.31552,                0.11513,                 2.3092,                 1.9947,                 1.9839,              0.0094753,              0.0094753,              0.0094753
                     56,                  1.492,                 1.1505,                 1.2931,                 0.3219,                0.38257,                0.26043,                0.09329,                 2.3504,                 2.0341,                 2.0194,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.4989,                 1.1462,                 1.2912,                 0.3131,                0.38185,                0.25294,                0.08631,                 2.3342,                 2.0881,                 2.0036,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4591,                 1.0948,                 1.2629,                0.33721,                0.37314,                0.24711,                0.08813,                 2.3578,                 2.0827,                 2.0278,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4579,                 1.0862,                 1.2663,                0.31228,                 0.3577,                0.24648,                 0.0864,                 2.4039,                 2.0115,                  2.067,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4678,                  1.082,                 1.2711,                0.29526,                0.37174,                0.24174,                0.07982,                 2.4336,                 2.0959,                 2.0668,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4652,                 1.0587,                  1.249,                0.32042,                0.40032,                0.28028,                0.09402,                  2.381,                 2.0998,                 2.0201,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.4671,                 1.0972,                 1.2745,                0.37579,                 0.3208,                0.27792,                0.09065,                 2.3976,                 2.1518,                 2.0752,               0.009406,               0.009406,               0.009406
                     63,                 1.4626,                  1.055,                 1.2671,                0.34382,                0.33447,                0.26959,                0.09272,                 2.4026,                 2.0822,                 2.0565,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.4181,                 1.0318,                 1.2501,                0.35839,                 0.3086,                0.24662,                0.08458,                 2.4195,                 2.0991,                  2.113,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4118,                 1.0203,                 1.2414,                0.35902,                0.34312,                  0.281,                0.09478,                  2.449,                  2.081,                 2.1033,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4206,                 1.0312,                 1.2444,                0.34696,                0.35029,                0.25126,                0.08919,                 2.4261,                 2.1141,                 2.0922,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4005,                 1.0028,                 1.2318,                0.35042,                0.35251,                 0.2498,                0.08261,                 2.4394,                 2.1665,                 2.1075,              0.0093565,              0.0093565,              0.0093565
                     68,                  1.423,                 0.9921,                 1.2399,                0.33915,                0.32439,                0.24316,                0.08392,                  2.405,                 2.1208,                 2.0643,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.3916,                0.98983,                  1.226,                0.34375,                0.33385,                0.25386,                 0.0861,                  2.439,                 2.1238,                 2.0972,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3856,                0.97279,                 1.2073,                0.30342,                0.37962,                0.24941,                0.08759,                 2.3777,                 2.0901,                 2.0017,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.3692,                 0.9414,                 1.1948,                0.32647,                 0.3581,                0.26025,                0.09719,                 2.3578,                  2.045,                 2.0362,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.3743,                0.95948,                 1.2137,                 0.4087,                0.28322,                0.26571,                0.09279,                 2.4258,                 2.1312,                 2.0687,               0.009307,               0.009307,               0.009307
